date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:45:41	1045/1045	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2030%20Jun%202021%2016:45:41%20GMT	https://demo2.wpopal.com/robots.txt		(from )
00:45:41	172529/172529	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Jun%202021%2000:49:49%20GMT	https://demo2.wpopal.com/rominal/home-2/	C:/My%20Web%20Sites/restaurant%20reservation%20system%20template/demo2.wpopal.com/rominal/home-2/index.html	(from )
00:45:42	42898/42898	---MCZ	200	added ('OK')	text/css	date:Tue,%2029%20Jun%202021%2000:49:44%20GMT	https://demo2wpopal.b-cdn.net/rominal/wp-content/cache/min/1/rominal/wp-content/plugins/awesome-weather/awesome-weather-9053c5b50fd89ca959c0dea16dc564e7.css	C:/My%20Web%20Sites/restaurant%20reservation%20system%20template/demo2wpopal.b-cdn.net/rominal/wp-content/cache/min/1/rominal/wp-content/plugins/awesome-weather/awesome-weather-9053c5b50fd89ca959c0dea16dc564e7.css	(from https://demo2.wpopal.com/rominal/home-2/)
00:45:43	11084/11084	---MCZ	200	added ('OK')	text/css	date:Tue,%2027%20Apr%202021%2007:31:24%20GMT	https://demo2wpopal.b-cdn.net/rominal/wp-content/plugins/ba-book-everything/js/ion.rangeSlider/ion.rangeSlider.min.css?ver=1.3.33	C:/My%20Web%20Sites/restaurant%20reservation%20system%20template/demo2wpopal.b-cdn.net/rominal/wp-content/plugins/ba-book-everything/js/ion.rangeSlider/ion.rangeSlider.min6d33.css	(from https://demo2.wpopal.com/rominal/home-2/)
00:45:43	6371/6371	---MCZ	200	added ('OK')	text/css	date:Tue,%2029%20Jun%202021%2000:49:44%20GMT	https://demo2wpopal.b-cdn.net/rominal/wp-content/cache/min/1/rominal/wp-content/plugins/ba-book-everything/css/daterangepicker-7e7c8bfba41b573e56a38ea32ac9987d.css	C:/My%20Web%20Sites/restaurant%20reservation%20system%20template/demo2wpopal.b-cdn.net/rominal/wp-content/cache/min/1/rominal/wp-content/plugins/ba-book-everything/css/daterangepicker-7e7c8bfba41b573e56a38ea32ac9987d.css	(from https://demo2.wpopal.com/rominal/home-2/)
00:45:44	15196/15196	---MCZ	200	added ('OK')	text/css	date:Tue,%2027%20Apr%202021%2007:31:24%20GMT	https://demo2wpopal.b-cdn.net/rominal/wp-content/plugins/ba-book-everything/css/select2.min.css?ver=1.3.33	C:/My%20Web%20Sites/restaurant%20reservation%20system%20template/demo2wpopal.b-cdn.net/rominal/wp-content/plugins/ba-book-everything/css/select2.min6d33.css	(from https://demo2.wpopal.com/rominal/home-2/)
00:45:45	4413/4413	---MCZ	200	added ('OK')	text/css	date:Tue,%2029%20Jun%202021%2000:49:44%20GMT	https://demo2wpopal.b-cdn.net/rominal/wp-content/cache/min/1/rominal/wp-content/plugins/ba-book-everything/css/babe-modal-486e2b1053d780175ec37d8af74746dc.css	C:/My%20Web%20Sites/restaurant%20reservation%20system%20template/demo2wpopal.b-cdn.net/rominal/wp-content/cache/min/1/rominal/wp-content/plugins/ba-book-everything/css/babe-modal-486e2b1053d780175ec37d8af74746dc.css	(from https://demo2.wpopal.com/rominal/home-2/)
00:45:45	30784/30784	---MCZ	200	added ('OK')	text/css	date:Tue,%2027%20Apr%202021%2007:31:24%20GMT	https://demo2wpopal.b-cdn.net/rominal/wp-content/plugins/ba-book-everything/css/jquery-ui.min.css?ver=1.12.1	C:/My%20Web%20Sites/restaurant%20reservation%20system%20template/demo2wpopal.b-cdn.net/rominal/wp-content/plugins/ba-book-everything/css/jquery-ui.min35d0.css	(from https://demo2.wpopal.com/rominal/home-2/)
00:45:45	505/505	---MCZ	200	added ('OK')	text/css	date:Tue,%2029%20Jun%202021%2000:49:44%20GMT	https://demo2wpopal.b-cdn.net/rominal/wp-content/cache/min/1/rominal/wp-content/plugins/opal-demo/style-3420ef61bd7e40ca53b743012d41fdb1.css	C:/My%20Web%20Sites/restaurant%20reservation%20system%20template/demo2wpopal.b-cdn.net/rominal/wp-content/cache/min/1/rominal/wp-content/plugins/opal-demo/style-3420ef61bd7e40ca53b743012d41fdb1.css	(from https://demo2.wpopal.com/rominal/home-2/)
00:45:46	50945/50945	---MCZ	200	added ('OK')	text/css	date:Tue,%2029%20Jun%202021%2000:49:44%20GMT	https://demo2wpopal.b-cdn.net/rominal/wp-content/cache/min/1/rominal/wp-content/plugins/revslider/public/assets/css/rs6-b3a5f5aa49e38d39c3dcc4a09321c1ff.css	C:/My%20Web%20Sites/restaurant%20reservation%20system%20template/demo2wpopal.b-cdn.net/rominal/wp-content/cache/min/1/rominal/wp-content/plugins/revslider/public/assets/css/rs6-b3a5f5aa49e38d39c3dcc4a09321c1ff.css	(from https://demo2.wpopal.com/rominal/home-2/)
